Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
TFSCU,1347 Capital Corp.,10.01,41841800,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu,
PIH,1347 Property Insurance Holdings, Inc.,8.56,54425550,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
FLWS,1-800 FLOWERS.COM, Inc.,5.45,349271550.35,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
FCTY,1st Century Bancshares, Inc,7.55,76816191.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,
FCCY,1st Constitution Bancorp (NJ),10.109,71619485.025,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,28.91,703518692.17,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
FUBC,1st United Bancorp, Inc. (FL),8.41,290057090.27,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc,
VNET,21Vianet Group, Inc.,27.82,1280878063.14,46041627,2011,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/vnet,
TWOU,2U, Inc.,13.72,551716940.6,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
JOBS,51job, Inc.,72,847172376,11766283,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,7.59,672178657.92,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
AVHI,A V Homes, Inc.,15.98,352799936.14,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
SHLM,A. Schulman, Inc.,41.48,1211636565.72,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
AAON,AAON, Inc.,21.17,1744270797.23,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
ASTM,Aastrom Biosciences, Inc.,3.33,21635432.91,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm,
ABAX,ABAXIS, Inc.,42.11,945706380,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABY,Abengoa Yield plc,39.79,3183200000,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,
ABGB,Abengoa, S.A.,26.12,195508121.64,7484997,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,
ABMD,ABIOMED, Inc.,25.82,1041935709.86,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,5.89,620398035.04,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
ACTG,Acacia Research Corporation,14.97,749439966.3,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
ACHC,Acadia Healthcare Company, Inc.,47.24,2821149888.6,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,20.73,2051779237.98,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
ACST,Acasti Pharma, Inc.,1.01,107322779.78,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
AXDX,Accelerate Diagnostics, Inc.,20.35,852757002.35,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,27.86,876357557.18,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,15.69,163385053.56,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,8.78,673990817.4,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
ACRX,AcelRx Pharmaceuticals, Inc.,10.63,461009940.06,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
ACET,Aceto Corporation,17.88,513689360.4,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet,
AKAO,Achaogen, Inc.,11.44,202266601.68,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
ACHN,Achillion Pharmaceuticals, Inc.,6.91,668860069.78,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,ACI Worldwide, Inc.,17.85,8123609113.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACNB,ACNB Corporation,19.25,115433568.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
ACOR,Acorda Therapeutics, Inc.,30.38,1265203353.4,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
ACFN,Acorn Energy, Inc.,2.19,48595830.63,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn,
ACTS,Actions Semiconductor Co., Ltd.,2.11,78191540.22,37057602,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,
ACPW,Active Power, Inc.,2.68,61851079.48,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,
ATVI,Activision Blizzard, Inc,23.12,16547587432,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
BIRT,Actuate Corporation,4.23,194820348.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt,
ACUR,Acura Pharmaceuticals, Inc.,1.03,50313421.46,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,
ACXM,Acxiom Corporation,19.65,1513889939.25,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADMS,Adamas Pharmaceuticals, Inc.,16.77,280190174.94,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,4.08,42846197.52,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
ADUS,Addus HomeCare Corporation,22.6,247493797.8,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
AEY,ADDvantage Technologies Group, Inc.,2.55,25544701.5,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
ADEP,Adept Technology, Inc.,9.37,122303574.12,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,
ADBE,Adobe Systems Incorporated,72.04,35830912217.56,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADTN,ADTRAN, Inc.,22.26,1255846782.96,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
ADES,Advanced Emissions Solutions, Inc.,20.85,226525158.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
AEIS,Advanced Energy Industries, Inc.,18.48,759696131.04,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
ADXS,Advaxis, Inc.,2.9,55894898.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
ADXSW,Advaxis, Inc.,0.9501,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
ADVS,Advent Software, Inc.,31.705,1631777024.09,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs,
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,25.23,2523000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult,
YPRO,AdvisorShares YieldPro ETF,25.197,71811450,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,
AEGR,Aegerion Pharmaceuticals, Inc.,28.75,847634841.25,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,
AEGN,Aegion Corp,22.58,857527004.98,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
AEHR,Aehr Test Systems,2.86,31562942.84,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
AMTX,Aemetis, Inc,12.75,260454794.25,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
AEPI,AEP Industries Inc.,40.37,205103660.52,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,
AERI,Aerie Pharmaceuticals, Inc.,21.64,507177870.2,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
AVAV,AeroVironment, Inc.,33.77,782672971.52,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
AEZS,AEterna Zentaris Inc.,1.2,67816762.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,
ATRM,Aetrium Incorporated,4.84,5223211.84,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm,
AFFX,Affymetrix, Inc.,8.56,622721938.4,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,
AGEN,Agenus Inc.,3.05,189820898,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,
AGRX,Agile Therapeutics, Inc.,7.03,130702174.77,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,
AGYS,Agilysys, Inc.,13.23,297231781.77,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,
AGIO,Agios Pharmaceuticals, Inc.,39.36,1336494108.48,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
AIRM,Air Methods Corporation,51.1,2000638635.1,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,
AIRT,Air T, Inc.,12.22,28778442.16,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,
ATSG,Air Transport Services Group, Inc,8.12,527373659.4,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
AMCN,AirMedia Group Inc,2.1801,94178889.8544,43199344,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,
"AIXG","Aixtron SE","13.99","92858205.3","6637470","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","58.49","10411282642.79","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKBA","Akebia Therapeutics, Inc.","23.19","469882574.67","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","3.94","19285657.78","n/a","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","34.32","3566587939.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALSK","Alaska Communications Systems Group, Inc.","1.72","84928859.68","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","20.24","655042704.8","n/a","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","13.95","188558885.7","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ALCS","ALCO Stores, Inc.","6.95","22644225.9","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/alcs",
"ADHD","Alcobra Ltd.","17.99","245324394.91","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
